-1,RootNode
1,Mesh_0
2,skinned_mesh
3,Root
4,Spine1
5,Spine2
6,Spine3
7,Neck
8,Head
9,R_Hair_Sideburn1
10,R_Hair_Sideburn2
11,R_Hair_Sideburn2_end
12,L_Hair_Sideburn1
13,L_Hair_Sideburn2
14,L_Hair_Sideburn2_end
15,Hair
16,Hair_end
17,R_Eye
18,R_Eye_end
19,L_Eye
20,L_Eye_end
21,Jaw
22,Jaw_end
23,R_Mouth_Corner
24,R_Mouth_Corner_end
25,L_Mouth_Corner
26,L_Mouth_Corner_end
27,C_Buffbone_Glb_Head_Loc
28,C_Buffbone_Glb_Head_Loc_end
29,L_Clavicle
30,L_Shoulder
31,L_Elbow
32,L_Hand
33,L_Thumb1
34,L_Thumb2
35,L_Thumb2_end
36,L_Index1
37,L_Index2
38,L_Index2_end
39,L_Middle1
40,L_Middle2
41,L_Middle2_end
42,L_Ring1
43,L_Ring2
44,L_Ring2_end
45,L_Pinky1
46,L_Pinky2
47,L_Pinky2_end
48,L_Buffbone_Glb_Hand_Loc
49,L_Buffbone_Glb_Hand_Loc_end
50,R_Clavicle
51,R_Shoulder
52,R_Elbow
53,R_Hand
54,R_Thumb1
55,R_Thumb2
56,R_Thumb2_end
57,R_Index1
58,R_Index2
59,R_Index2_end
60,R_Middle1
61,R_Middle2
62,R_Middle2_end
63,R_Ring1
64,R_Ring2
65,R_Ring2_end
66,R_Pinky1
67,R_Pinky2
68,R_Pinky2_end
69,Buffbone_Glb_Weapon_1
70,Buffbone_Glb_Weapon_1_end
71,R_Buffbone_Glb_Hand_Loc
72,R_Buffbone_Glb_Hand_Loc_end
73,Backpack
74,Backpack_end
75,C_Buffbone_Glb_Chest_Loc
76,C_Buffbone_Glb_Chest_Loc_end
77,L_Hip
78,L_KneeUpper
79,L_KneeLower
80,L_Foot
81,L_Toe
82,L_Toe_end
83,L_Buffbone_Glb_Foot_Loc
84,L_Buffbone_Glb_Foot_Loc_end
85,R_Hip
86,R_KneeUpper
87,R_KneeLower
88,R_Foot
89,R_Toe
90,R_Toe_end
91,R_Buffbone_Glb_Foot_Loc
92,R_Buffbone_Glb_Foot_Loc_end
93,R_Skirt_F
94,R_Skirt_F_end
95,R_Skirt_B
96,R_Skirt_B_end
97,L_Skirt_F
98,L_Skirt_F_end
99,L_Skirt_B
100,L_Skirt_B_end
101,R_Teddy
102,R_Teddy_Chest
103,L_Teddy_Arm
104,L_Teddy_Arm_end
105,Teddy_Head
106,Teddy_Head_end
107,Teddy_Hip
108,R_Teddy_Leg
109,R_Teddy_Leg_end
110,L_Teddy_Leg
111,L_Teddy_Leg_end
112,R_Teddy_Shoulder
113,R_Teddy_Hand
114,R_Teddy_Hand_end
115,Buffbone_Glb_Channel_Loc
116,Buffbone_Glb_Channel_Loc_end
117,Buffbone_Glb_Ground_Loc
118,Buffbone_Glb_Ground_Loc_end
119,C_Buffbone_Glb_Center_Loc
120,C_Buffbone_Glb_Center_Loc_end
121,C_Buffbone_Glb_Layout_Loc
122,C_Buffbone_Glb_Layout_Loc_end
123,C_Buffbone_Glb_Overhead_Loc
124,C_Buffbone_Glb_Overhead_Loc_end
125,Cstm_Buffbone_Idle_Fire
126,Cstm_Buffbone_Idle_Fire_end

2747.409912,-793.409790,-6097.441895,31.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
2747.666260,-1074.390869,-6246.956543,31.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
2871.810059,-887.643799,-6177.104980,31.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
2576.551270,-1050.447754,-6193.580078,31.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
2747.666260,-1074.390869,-6246.956543,31.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
2747.409912,-793.409790,-6097.441895,31.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
2576.551270,-1050.447754,-6193.580078,31.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
2732.839111,-1259.014893,-6391.346191,31.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
2747.666260,-1074.390869,-6246.956543,31.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
2556.123291,-1304.556885,-6392.334961,31.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
2732.839111,-1259.014893,-6391.346191,31.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
